OBJECTID,CON_ID,GUID,CON_SEAT_,Shape__Area,Shape__Length
1,260007C,F429C537-3D0C-4816-8470-E5C44A107190,Dublin South Central (4),26456378.2713318,24210.1812622094
2,120001C,6ABAF341-6DD5-4072-84DC-C3511DF6952C,Limerick County (3),2438052545.7254,362963.308074257
3,40004C,D15D7151-21A5-4CAE-8764-32664B9BC9E1,Cork North-West (3),2602168015.24088,384023.652127782
4,20001C,AC869BFE-5EB7-4479-AF27-670D394B2656,Cavan-Monaghan (5),3380587405.62314,480233.75522401
5,40002C,CD9AB3FF-8A12-4F77-96D4-5F4EF76E07CC,Cork North-Central (4),648074909.562134,147709.124245922
6,80002C,558A721C-E5E6-432E-BE8F-8489BD52105E,Kildare South (4),1263717991.39264,247326.381400517
7,40003C,218E3BC9-65E5-48A3-9934-F03C5C150993,Cork South-Central (4),198823684.460114,96550.310850599
8,50001C,3320217E-0AA4-4419-832C-654AE7016F52,Donegal (5),4651008142.85889,1208731.60205261
9,130001C,C7390FE4-96BC-4BFA-8F4D-09E4BD3E0BE9,Longford-Westmeath (4),2626852665.67099,286627.240972782
10,210001C,037BD046-B699-4930-AAF6-B9029B4CAF4B,Tipperary (5),4227059819.2048,466147.928168804
11,260008C,B4A90DB6-E625-4B70-813D-BE136A92C9A9,Dublin Bay South (4),22965018.9274902,28125.7854599329
12,80001C,A3633282-2E52-45AF-A81E-74F45C96C653,Kildare North (4),508070848.03894,160068.355532611
13,250001C,3F59EE2B-8D39-4C40-ACD1-EEFC7F879936,Wicklow (5),2027636516.0083,273739.508791489
14,190001C,7465141C-6D30-4331-AC42-90DD4F143B63,Roscommon-Galway (3),3452862705.28387,344754.752665125
15,30001C,3D7FB62A-AF60-4D22-A873-542ACE8EA01D,Clare (4),3453102395.09424,425868.7379239
16,270001C,DB3DEB29-6F26-4C5D-B479-35594FE4554C,Laois-Offaly (5),3642110854.23065,438681.776633889
17,260005C,4B160D1C-41B2-40EC-9C14-F9F53D1F3FDB,Dublin Central (4),17723821.1974792,23632.1365519398
18,150001C,4B5510D1-9892-46C1-8403-F65F42B9A8CF,Mayo (4),5348280625.57324,1256601.0067834
19,60001C,42C8AA87-94C3-4013-8F82-2D57739B7FA7,Galway West (5),2596014306.76614,1186207.11103337
20,140001C,957D1D37-5221-4B23-AADD-41F48DE00C7A,Louth (5),911766957.526825,238505.444142266
21,260001C,5EEBE287-5ED9-454D-8E42-C988531C8CCC,Dublin Fingal (5),369176583.128448,148628.585216522
22,40005C,B7BEC117-108B-4F0A-AC81-036DC4AE990E,Cork South-West (3),2391962285.90453,1063447.87248404
23,10001C,AA601F40-12B7-41E8-A384-74688CC75084,Carlow-Kilkenny (5),2968215426.146,348122.172186641
24,40001C,48BFAC96-2DFF-4372-B216-A46EA183E87E,Cork East (4),1658974702.54672,314741.562826583
25,260006C,C86502E5-5DBB-46A4-B913-7A37F813C57B,Dublin Mid-West (4),104347761.082733,57219.5282213207
26,2600011C,F6515FCB-9907-4575-918F-6DFC7DF2C290,Dun Laoghaire (4),58859506.3066406,46801.6302121945
27,220001C,2C10CC63-EE08-47CF-AE85-FE5A8A385DFD,Waterford (4),1858594563.55301,340935.870232363
28,70001C,F5A00F1F-91F8-454C-9DA7-55753A3BB6CD,Kerry (5),4802058792.37605,1057541.48584189
29,260003C,481F9B8B-15C3-46EA-A407-775F3281D16D,Dublin North-West (3),23240829.5040588,23274.1930998014
30,60002C,2B7D9E8B-BFDD-46DF-AAC2-831A4A0C03CB,Galway East (3),2575552338.17871,421636.652028329
31,260009C,9C1D8D61-9319-4A69-8A59-3E9496F04382,Dublin South-West (5),110894493.595245,50270.8222136707
32,240001C,393B7DEB-C417-423C-A271-1166DDC527E1,Wexford (5),2371067299.11551,365477.526085601
33,2600010C,C9E585BC-CE08-4FD7-873B-F89D6341B9A2,Dublin Rathdown (3),67785088.2618713,37975.2133551947
34,260002C,FB3305C4-5CFE-4B3F-81E7-89E31BC39858,Dublin West (4),75893962.2337036,52384.1925515618
35,260004C,3AF7A302-D4F3-4789-809C-75A4D96EED14,Dublin Bay North (5),47255049.967926,58461.522952226
36,160002C,4DC42418-6191-47F7-B92D-0EFE5591FC92,Meath West (3),1368580817.48492,252791.644264913
37,160001C,6051CABD-672B-4EAF-9B4A-CF28C936A140,Meath East (3),1040148901.48587,284207.505700742
38,200001C,9CE771FE-AEC9-4BA0-B664-64D6B659A6A8,Sligo-Leitrim (4),3932750771.1142,599833.789131225
39,120002C,DDA7971D-4034-4C75-96E5-D760E33555A2,Limerick City (4),390626094.048401,133942.365879462
